ID_Llamada;Tiempo_Espera_Min;Intervalo;;;
226;7,6;5–10;;;
227;43,5;40–45;;;
228;2,8;0–5;;;
229;8,4;5–10;;;
230;1,9;0–5;;;
231;18,1;15–20;;;
232;12,8;10–15;;;
233;4,1;0–5;;;
234;14,1;10–15;;;
235;5,5;5–10;;;
236;13,2;10–15;;;
237;6,0;5–10;;;
238;19,2;15–20;;;
239;4,2;0–5;;;
240;9,1;5–10;;;
241;6,5;5–10;;;
242;8,5;5–10;;;
243;8,2;5–10;;;
244;29,2;25–30;;;
245;15,6;15–20;;;
246;6,5;5–10;;;
247;20,3;20–25;;;
248;17,4;15–20;;;
249;9,3;5–10;;;
250;14,2;10–15;;;
251;11,9;10–15;;;
252;1,1;0–5;;;
253;4,9;0–5;;;
254;9,7;5–10;;;
255;16,3;15–20;;;
256;1,7;0–5;;;
257;1,2;0–5;;;
258;5,7;5–10;;;
259;0,7;0–5;;;
260;5,6;5–10;;;
261;7,7;5–10;;;
262;2,7;0–5;;;
263;5,7;5–10;;;
264;11,2;10–15;;;
265;3,9;0–5;;;
266;3,1;0–5;;;
267;5,5;5–10;;;
268;2,5;0–5;;;
269;19,3;15–20;;;
270;6,1;5–10;;;
271;3,4;0–5;;;
272;7,0;5–10;;;
273;5,5;5–10;;;
274;5,1;5–10;;;
275;3,9;0–5;;;
276;3,8;0–5;;;
277;1,5;0–5;;;
278;14,2;10–15;;;
279;8,9;5–10;;;
280;7,4;5–10;;;
281;5,4;5–10;;;
282;2,7;0–5;;;
283;3,2;0–5;;;
284;1,7;0–5;;;
285;3,6;0–5;;;
286;2,4;0–5;;;
287;16,8;15–20;;;
288;10,7;10–15;;;
289;6,3;5–10;;;
290;2,9;0–5;;;
291;2,5;0–5;;;
292;5,2;5–10;;;
293;11,0;10–15;;;
294;1,7;0–5;;;
295;8,8;5–10;;;
296;3,6;0–5;;;
297;4,1;0–5;;;
298;6,2;5–10;;;
299;3,0;0–5;;;
300;5,0;0–5;;;
301;2,8;0–5;;;
302;3,8;0–5;;;
303;9,9;5–10;;;
304;6,4;5–10;;;
305;9,9;5–10;;;
306;3,5;0–5;;;
307;8,8;5–10;;;
308;1,3;0–5;;;
309;6,2;5–10;;;
310;9,2;5–10;;;
311;1,3;0–5;;;
312;3,6;0–5;;;
313;6,2;5–10;;;
314;11,5;10–15;;;
315;3,8;0–5;;;
316;17,7;15–20;;;
317;14,8;10–15;;;
318;8,9;5–10;;;
319;5,1;5–10;;;
320;7,7;5–10;;;
321;3,7;0–5;;;
322;6,4;5–10;;;
323;5,3;5–10;;;
324;7,6;5–10;;;
325;4,3;0–5;;;
326;7,9;5–10;;;
327;4,3;0–5;;;
328;10,6;10–15;;;
329;13,0;10–15;;;
330;0,8;0–5;;;
331;2,6;0–5;;;
332;6,1;5–10;;;
333;16,7;15–20;;;
334;21,8;20–25;;;
335;0,6;0–5;;;
336;1,6;0–5;;;
337;12,5;10–15;;;
338;9,2;5–10;;;
339;22,4;20–25;;;
340;4,2;0–5;;;
341;3,0;0–5;;;
342;6,3;5–10;;;
343;4,1;0–5;;;
344;11,8;10–15;;;
345;4,0;0–5;;;
346;4,9;0–5;;;
347;2,6;0–5;;;
348;9,9;5–10;;;
349;2,8;0–5;;;
350;8,0;5–10;;;
351;18,5;15–20;;;
352;1,1;0–5;;;
353;15,2;15–20;;;
354;7,3;5–10;;;
355;2,3;0–5;;;
356;6,5;5–10;;;
357;9,7;5–10;;;
358;3,1;0–5;;;
359;8,3;5–10;;;
360;16,0;15–20;;;
361;4,0;0–5;;;
362;2,6;0–5;;;
363;5,4;5–10;;;
364;6,2;5–10;;;
365;12,1;10–15;;;
366;5,3;5–10;;;
367;4,3;0–5;;;
368;2,6;0–5;;;
369;1,3;0–5;;;
370;1,9;0–5;;;
371;1,9;0–5;;;
372;4,9;0–5;;;
373;1,5;0–5;;;
374;27,6;25–30;;;
375;18,3;15–20;;;
376;12,4;10–15;;;
377;4,9;0–5;;;
378;25,8;25–30;;;
379;6,2;5–10;;;
380;6,9;5–10;;;
381;5,4;5–10;;;
382;5,8;5–10;;;
383;24,8;20–25;;;
384;4,9;0–5;;;
385;15,3;15–20;;;
386;13,2;10–15;;;
387;0,7;0–5;;;
388;1,7;0–5;;;
389;3,2;0–5;;;
390;11,1;10–15;;;
391;13,4;10–15;;;
392;9,7;5–10;;;
393;2,3;0–5;;;
394;4,0;0–5;;;
395;8,4;5–10;;;
396;5,0;0–5;;;
397;4,5;0–5;;;
398;4,5;0–5;;;
399;12,6;10–15;;;
400;9,0;5–10;;;
401;4,7;0–5;;;
402;7,5;5–10;;;
403;2,0;0–5;;;
404;4,0;0–5;;;
405;11,8;10–15;;;
406;13,5;10–15;;;
407;9,0;5–10;;;
408;0,7;0–5;;;
409;16,9;15–20;;;
410;3,9;0–5;;;
411;7,9;5–10;;;
412;6,5;5–10;;;
413;6,7;5–10;;;
414;7,4;5–10;;;
415;1,2;0–5;;;
416;6,8;5–10;;;
417;5,2;5–10;;;
418;3,9;0–5;;;
419;3,2;0–5;;;
420;6,9;5–10;;;
421;2,6;0–5;;;
422;11,7;10–15;;;
423;8,3;5–10;;;
424;7,2;5–10;;;
425;11,4;10–15;;;
426;1,0;0–5;;;
427;1,9;0–5;;;
428;8,5;5–10;;;
429;3,3;0–5;;;
430;3,7;0–5;;;
431;1,7;0–5;;;
432;2,6;0–5;;;
433;11,9;10–15;;;
434;8,4;5–10;;;
435;6,8;5–10;;;
436;3,8;0–5;;;
437;6,5;5–10;;;
438;68,7;60+;;;
439;3,4;0–5;;;
440;5,8;5–10;;;
441;17,5;15–20;;;
442;55,1;55–60;;;
443;3,8;0–5;;;
444;9,1;5–10;;;
445;1,4;0–5;;;
446;5,7;5–10;;;
447;9,1;5–10;;;
448;7,8;5–10;;;
449;9,1;5–10;;;
450;10,4;10–15;;;
451;8,2;5–10;;;
452;8,1;5–10;;;
453;6,9;5–10;;;
454;2,4;0–5;;;
455;11,9;10–15;;;
456;5,8;5–10;;;
457;9,5;5–10;;;
458;11,1;10–15;;;
459;4,0;0–5;;;
460;4,3;0–5;;;
461;4,7;0–5;;;
462;13,3;10–15;;;
463;2,9;0–5;;;
464;14,8;10–15;;;
465;6,9;5–10;;;
466;7,2;5–10;;;
467;20,3;20–25;;;
468;6,3;5–10;;;
469;11,9;10–15;;;
470;4,0;0–5;;;
471;14,5;10–15;;;
472;4,2;0–5;;;
473;14,8;10–15;;;
474;4,3;0–5;;;
475;4,8;0–5;;;
476;2,6;0–5;;;
477;3,2;0–5;;;
478;5,8;5–10;;;
479;7,1;5–10;;;
480;11,4;10–15;;;
481;5,1;5–10;;;
482;7,8;5–10;;;
483;6,7;5–10;;;
484;8,4;5–10;;;
485;3,6;0–5;;;
486;3,9;0–5;;;
487;3,6;0–5;;;
488;12,8;10–15;;;
489;14,6;10–15;;;
490;3,8;0–5;;;
491;3,9;0–5;;;
492;9,2;5–10;;;
493;15,6;15–20;;;
494;17,8;15–20;;;
495;3,7;0–5;;;
496;4,4;0–5;;;
497;7,3;5–10;;;
498;7,6;5–10;;;
499;5,2;5–10;;;
500;3,1;0–5;;;
501;5,8;5–10;;;
502;17,8;15–20;;;
503;4,0;0–5;;;
504;7,0;5–10;;;
505;25,2;25–30;;;
506;11,2;10–15;;;
507;9,5;5–10;;;
508;18,2;15–20;;;
509;8,9;5–10;;;
510;12,3;10–15;;;
511;10,3;10–15;;;
512;8,5;5–10;;;
513;14,3;10–15;;;
514;9,3;5–10;;;
515;5,3;5–10;;;
516;6,6;5–10;;;
517;7,7;5–10;;;
518;4,4;0–5;;;
519;6,8;5–10;;;
520;6,2;5–10;;;
521;9,3;5–10;;;
522;21,3;20–25;;;
523;7,1;5–10;;;
524;15,9;15–20;;;
525;9,0;5–10;;;
526;6,8;5–10;;;
527;4,2;0–5;;;
528;6,9;5–10;;;
529;6,6;5–10;;;
530;3,4;0–5;;;
531;3,8;0–5;;;
532;7,8;5–10;;;
533;15,8;15–20;;;
534;5,7;5–10;;;
535;1,6;0–5;;;
536;0,6;0–5;;;
537;2,5;0–5;;;
538;46,8;45–50;;;
539;1,9;0–5;;;
540;10,7;10–15;;;
541;9,3;5–10;;;
542;5,6;5–10;;;
543;3,4;0–5;;;
544;5,0;0–5;;;
545;7,6;5–10;;;
546;2,0;0–5;;;
547;14,8;10–15;;;
548;7,6;5–10;;;
549;8,2;5–10;;;
550;9,2;5–10;;;
551;13,9;10–15;;;
552;6,9;5–10;;;
553;9,6;5–10;;;
554;3,5;0–5;;;
555;17,8;15–20;;;
556;6,6;5–10;;;
557;3,5;0–5;;;
558;4,2;0–5;;;
559;0,9;0–5;;;
560;4,2;0–5;;;
561;0,4;0–5;;;
562;10,1;10–15;;;
563;8,0;5–10;;;
564;2,7;0–5;;;
565;5,8;5–10;;;
566;6,0;5–10;;;
567;2,2;0–5;;;
568;5,1;5–10;;;
569;6,1;5–10;;;
570;5,0;0–5;;;
571;3,5;0–5;;;
572;2,6;0–5;;;
573;4,8;0–5;;;
574;3,8;0–5;;;
575;8,8;5–10;;;
576;14,4;10–15;;;
577;11,0;10–15;;;
578;6,2;5–10;;;
579;3,6;0–5;;;
580;10,8;10–15;;;
581;9,2;5–10;;;
582;13,8;10–15;;;
583;6,9;5–10;;;
584;17,2;15–20;;;
585;6,9;5–10;;;
586;3,6;0–5;;;
587;4,1;0–5;;;
588;8,6;5–10;;;
589;3,8;0–5;;;
590;17,2;15–20;;;
591;8,1;5–10;;;
592;6,1;5–10;;;
593;6,5;5–10;;;
594;4,9;0–5;;;
595;1,2;0–5;;;
596;4,1;0–5;;;
597;15,8;15–20;;;
598;7,0;5–10;;;
599;11,8;10–15;;;
600;12,0;10–15;;;
601;5,8;5–10;;;
602;9,3;5–10;;;
603;1,4;0–5;;;
604;15,0;10–15;;;
605;14,3;10–15;;;
606;8,4;5–10;;;
607;7,2;5–10;;;
608;5,9;5–10;;;
609;12,7;10–15;;;
610;10,0;5–10;;;
611;4,5;0–5;;;
612;26,4;25–30;;;
613;1,9;0–5;;;
614;12,6;10–15;;;
615;5,8;5–10;;;
616;8,3;5–10;;;
617;6,3;5–10;;;
618;1,9;0–5;;;
619;1,4;0–5;;;
620;4,3;0–5;;;
621;4,6;0–5;;;
622;4,6;0–5;;;
623;4,7;0–5;;;
624;20,4;20–25;;;
625;11,7;10–15;;;
626;7,1;5–10;;;
627;10,0;5–10;;;
628;5,8;5–10;;;
629;9,8;5–10;;;
630;5,6;5–10;;;
631;10,9;10–15;;;
632;7,6;5–10;;;
633;20,5;20–25;;;
634;5,4;5–10;;;
635;12,2;10–15;;;
636;2,5;0–5;;;
637;3,6;0–5;;;
638;18,9;15–20;;;
639;10,6;10–15;;;
640;8,4;5–10;;;
641;23,8;20–25;;;
642;5,7;5–10;;;
643;12,2;10–15;;;
644;12,8;10–15;;;
645;16,3;15–20;;;
646;2,2;0–5;;;
647;5,7;5–10;;;
648;7,5;5–10;;;
649;16,2;15–20;;;
650;8,2;5–10;;;
651;12,8;10–15;;;
652;2,1;0–5;;;
653;4,8;0–5;;;
654;14,2;10–15;;;
655;5,2;5–10;;;
656;6,0;5–10;;;
657;16,0;15–20;;;
658;3,0;0–5;;;
659;3,6;0–5;;;
660;1,9;0–5;;;
661;16,4;15–20;;;
662;11,6;10–15;;;
663;11,4;10–15;;;
664;4,7;0–5;;;
665;1,7;0–5;;;
666;1,3;0–5;;;
667;14,3;10–15;;;
668;8,8;5–10;;;
669;9,9;5–10;;;
670;7,3;5–10;;;
671;3,2;0–5;;;
672;18,2;15–20;;;
673;2,6;0–5;;;
674;2,3;0–5;;;
675;11,0;10–15;;;
676;1,4;0–5;;;
677;2,6;0–5;;;
678;5,0;0–5;;;
679;6,4;5–10;;;
680;1,8;0–5;;;
681;8,1;5–10;;;
682;7,0;5–10;;;
683;49,9;45–50;;;
684;6,5;5–10;;;
685;8,7;5–10;;;
686;3,4;0–5;;;
687;3,5;0–5;;;
688;2,0;0–5;;;
689;3,4;0–5;;;
690;4,8;0–5;;;
691;13,3;10–15;;;
692;3,0;0–5;;;
693;21,1;20–25;;;
694;9,2;5–10;;;
695;8,0;5–10;;;
696;6,2;5–10;;;
697;5,4;5–10;;;
698;3,9;0–5;;;
699;1,8;0–5;;;
700;3,1;0–5;;;
701;16,4;15–20;;;
702;8,8;5–10;;;
703;16,3;15–20;;;
704;3,8;0–5;;;
705;2,5;0–5;;;
706;6,1;5–10;;;
707;3,2;0–5;;;
708;7,1;5–10;;;
709;1,4;0–5;;;
710;0,8;0–5;;;
711;7,8;5–10;;;
712;16,7;15–20;;;
713;8,0;5–10;;;
714;8,8;5–10;;;
715;6,3;5–10;;;
716;6,7;5–10;;;
717;1,7;0–5;;;
718;3,3;0–5;;;
719;13,2;10–15;;;
720;4,7;0–5;;;
721;13,0;10–15;;;
722;6,6;5–10;;;
723;6,9;5–10;;;
724;4,7;0–5;;;
725;9,6;5–10;;;
726;11,2;10–15;;;
727;3,2;0–5;;;
728;1,8;0–5;;;
729;1,0;0–5;;;
730;8,5;5–10;;;
731;7,8;5–10;;;
732;24,8;20–25;;;
733;6,3;5–10;;;
734;5,6;5–10;;;
735;7,2;5–10;;;
736;7,5;5–10;;;
737;5,2;5–10;;;
738;3,2;0–5;;;
739;6,1;5–10;;;
740;5,9;5–10;;;
741;5,9;5–10;;;
742;10,3;10–15;;;
743;6,0;5–10;;;
744;1,9;0–5;;;
745;3,7;0–5;;;
746;5,2;5–10;;;
747;6,2;5–10;;;
748;8,6;5–10;;;
749;6,3;5–10;;;
750;0,8;0–5;;;
751;2,1;0–5;;;
752;9,0;5–10;;;
753;5,1;5–10;;;
754;6,6;5–10;;;
755;4,6;0–5;;;
756;32,9;30–35;;;
757;4,7;0–5;;;
758;26,3;25–30;;;
759;6,0;5–10;;;
760;11,2;10–15;;;
761;1,5;0–5;;;
762;1,8;0–5;;;
763;5,0;0–5;;;
764;8,7;5–10;;;
765;9,9;5–10;;;
766;30,2;30–35;;;
767;0,3;0–5;;;
768;3,9;0–5;;;
769;7,9;5–10;;;
770;5,9;5–10;;;
771;22,7;20–25;;;
772;12,9;10–15;;;
773;5,3;5–10;;;
774;4,2;0–5;;;
775;2,9;0–5;;;
776;1,8;0–5;;;
777;1,3;0–5;;;
778;3,5;0–5;;;
779;11,8;10–15;;;
780;9,5;5–10;;;
781;4,1;0–5;;;
782;21,2;20–25;;;
783;3,7;0–5;;;
784;13,7;10–15;;;
785;15,7;15–20;;;
786;8,2;5–10;;;
787;3,5;0–5;;;
788;4,5;0–5;;;
789;6,8;5–10;;;
790;1,8;0–5;;;
791;2,7;0–5;;;
792;2,5;0–5;;;
793;8,6;5–10;;;
794;12,8;10–15;;;
795;9,7;5–10;;;
796;11,5;10–15;;;
797;3,2;0–5;;;
798;4,7;0–5;;;
799;4,9;0–5;;;
800;8,2;5–10;;;
801;3,6;0–5;;;
802;11,0;10–15;;;
803;15,5;15–20;;;
804;8,5;5–10;;;
805;4,5;0–5;;;
806;3,0;0–5;;;
807;2,5;0–5;;;
808;0,8;0–5;;;
809;5,1;5–10;;;
810;4,8;0–5;;;
811;10,6;10–15;;;
812;3,8;0–5;;;
813;5,3;5–10;;;
814;7,3;5–10;;;
815;8,4;5–10;;;
816;9,8;5–10;;;
817;6,8;5–10;;;
818;1,9;0–5;;;
819;7,9;5–10;;;
820;29,0;25–30;;;
821;13,2;10–15;;;
822;6,1;5–10;;;
823;7,1;5–10;;;
824;26,1;25–30;;;
825;9,9;5–10;;;
826;7,8;5–10;;;
827;5,4;5–10;;;
828;2,1;0–5;;;
829;5,1;5–10;;;
830;3,0;0–5;;;
831;16,7;15–20;;;
832;7,9;5–10;;;
833;12,9;10–15;;;
834;3,7;0–5;;;
835;3,2;0–5;;;
836;9,3;5–10;;;
837;2,9;0–5;;;
838;4,3;0–5;;;
839;17,2;15–20;;;
840;4,4;0–5;;;
841;1,7;0–5;;;
842;1,1;0–5;;;
843;1,5;0–5;;;
844;13,4;10–15;;;
845;3,9;0–5;;;
846;25,6;25–30;;;
847;15,6;15–20;;;
848;19,7;15–20;;;
849;11,7;10–15;;;
850;9,0;5–10;;;
851;3,1;0–5;;;
852;6,0;5–10;;;
853;9,6;5–10;;;
854;11,2;10–15;;;
855;2,2;0–5;;;
856;5,2;5–10;;;
857;5,6;5–10;;;
858;5,5;5–10;;;
859;2,5;0–5;;;
860;18,3;15–20;;;
861;5,0;0–5;;;
862;2,7;0–5;;;
863;18,6;15–20;;;
864;15,6;15–20;;;
865;6,6;5–10;;;
866;4,2;0–5;;;
867;1,4;0–5;;;
868;8,5;5–10;;;
869;3,9;0–5;;;
870;5,9;5–10;;;
871;17,6;15–20;;;
872;3,7;0–5;;;
873;8,3;5–10;;;
874;10,0;5–10;;;
875;13,1;10–15;;;
876;5,5;5–10;;;
877;5,1;5–10;;;
878;5,0;0–5;;;
879;7,7;5–10;;;
880;15,2;15–20;;;
881;4,9;0–5;;;
882;0,4;0–5;;;
883;10,7;10–15;;;
884;6,3;5–10;;;
885;8,5;5–10;;;
886;1,4;0–5;;;
887;3,9;0–5;;;
888;10,2;10–15;;;
889;2,0;0–5;;;
890;8,3;5–10;;;
891;5,8;5–10;;;
892;3,3;0–5;;;
893;3,1;0–5;;;
894;2,5;0–5;;;
895;6,2;5–10;;;
896;6,8;5–10;;;
897;4,5;0–5;;;
898;2,4;0–5;;;
899;8,1;5–10;;;
900;10,9;10–15;;;
901;9,1;5–10;;;
902;20,2;20–25;;;
903;5,2;5–10;;;
904;14,2;10–15;;;
905;3,6;0–5;;;
906;3,1;0–5;;;
907;6,5;5–10;;;
908;16,3;15–20;;;
909;4,8;0–5;;;
910;1,4;0–5;;;
911;10,7;10–15;;;
912;5,6;5–10;;;
913;7,4;5–10;;;
914;3,3;0–5;;;
915;6,5;5–10;;;
916;1,6;0–5;;;
917;18,5;15–20;;;
918;12,0;10–15;;;
919;6,3;5–10;;;
920;10,5;10–15;;;
921;3,6;0–5;;;
922;11,7;10–15;;;
923;4,6;0–5;;;
924;4,4;0–5;;;
925;2,7;0–5;;;
926;8,0;5–10;;;
927;35,6;35–40;;;
928;14,5;10–15;;;
929;2,4;0–5;;;
930;8,0;5–10;;;
931;12,8;10–15;;;
932;6,9;5–10;;;
933;4,6;0–5;;;
934;6,7;5–10;;;
935;13,8;10–15;;;
936;13,8;10–15;;;
937;5,5;5–10;;;
938;13,6;10–15;;;
939;5,9;5–10;;;
940;10,5;10–15;;;
941;8,7;5–10;;;
942;4,4;0–5;;;
943;2,8;0–5;;;
944;13,0;10–15;;;
945;15,4;15–20;;;
946;7,9;5–10;;;
947;5,9;5–10;;;
948;2,2;0–5;;;
949;12,8;10–15;;;
950;7,3;5–10;;;
951;4,9;0–5;;;
952;10,6;10–15;;;
953;1,8;0–5;;;
954;2,6;0–5;;;
955;3,5;0–5;;;
956;8,5;5–10;;;
957;6,8;5–10;;;
958;9,2;5–10;;;
959;12,3;10–15;;;
960;9,4;5–10;;;
961;18,7;15–20;;;
962;12,2;10–15;;;
963;5,5;5–10;;;
964;3,9;0–5;;;
965;5,6;5–10;;;
966;9,6;5–10;;;
967;4,3;0–5;;;
968;9,8;5–10;;;
969;9,1;5–10;;;
970;2,7;0–5;;;
971;12,1;10–15;;;
972;7,7;5–10;;;
973;18,2;15–20;;;
974;5,9;5–10;;;
975;4,7;0–5;;;
976;2,4;0–5;;;
977;2,4;0–5;;;
978;11,2;10–15;;;
979;17,0;15–20;;;
980;5,5;5–10;;;
981;5,3;5–10;;;
982;6,3;5–10;;;
983;12,6;10–15;;;
984;2,8;0–5;;;
985;7,1;5–10;;;
986;11,3;10–15;;;
987;8,4;5–10;;;
988;0,2;0–5;;;
989;9,5;5–10;;;
990;8,5;5–10;;;
991;14,2;10–15;;;
992;16,2;15–20;;;
993;13,8;10–15;;;
994;6,3;5–10;;;
995;1,4;0–5;;;
996;5,2;5–10;;;
997;6,2;5–10;;;
998;16,9;15–20;;;
999;3,3;0–5;;;
1000;1,9;0–5;;;
1001;4,3;0–5;;;
1002;3,4;0–5;;;
1003;1,7;0–5;;;
1004;5,6;5–10;;;
1005;6,3;5–10;;;
1006;1,6;0–5;;;
1007;4,7;0–5;;;
1008;3,3;0–5;;;
1009;6,5;5–10;;;
1010;7,0;5–10;;;
1011;3,3;0–5;;;
1012;12,0;10–15;;;
1013;6,1;5–10;;;
1014;3,4;0–5;;;
1015;1,5;0–5;;;
1016;7,2;5–10;;;
1017;8,5;5–10;;;
1018;4,1;0–5;;;
1019;27,0;25–30;;;
1020;16,2;15–20;;;
1021;10,8;10–15;;;
1022;0,6;0–5;;;
1023;3,3;0–5;;;
1024;5,4;5–10;;;
1025;6,3;5–10;;;
1026;6,7;5–10;;;
1027;8,1;5–10;;;
1028;5,6;5–10;;;
1029;6,1;5–10;;;
1030;11,2;10–15;;;
1031;22,2;20–25;;;
1032;2,2;0–5;;;
1033;6,5;5–10;;;
1034;5,4;5–10;;;
1035;0,9;0–5;;;
1036;6,7;5–10;;;
1037;2,5;0–5;;;
1038;11,3;10–15;;;
1039;8,0;5–10;;;
1040;2,1;0–5;;;
1041;11,0;10–15;;;
1042;14,4;10–15;;;
1043;4,9;0–5;;;
1044;49,6;45–50;;;
1045;10,3;10–15;;;
1046;13,7;10–15;;;
1047;1,3;0–5;;;
1048;2,4;0–5;;;
1049;4,4;0–5;;;
1050;4,7;0–5;;;
1051;10,1;10–15;;;
1052;13,7;10–15;;;
1053;14,4;10–15;;;
1054;1,2;0–5;;;
1055;3,1;0–5;;;
1056;3,7;0–5;;;
1057;36,9;35–40;;;
1058;8,0;5–10;;;
1059;8,7;5–10;;;
1060;6,0;5–10;;;
1061;5,6;5–10;;;
1062;4,5;0–5;;;
1063;4,9;0–5;;;
1064;16,0;15–20;;;
1065;9,6;5–10;;;
1066;4,6;0–5;;;
